,clusteringCoefficient_networkit_innov,PageRank_networkit_innov,betweennessInComm_toScale_innov,lengthMean_rw_innov,nb_users_innov,clusteringCoefficient_networkit_prop,PageRank_networkit_prop,betweennessInComm_toScale_prop,lengthMean_rw_prop,nb_users_prop,clusteringCoefficient_networkit_fix,PageRank_networkit_fix,betweennessInComm_toScale_fix,lengthMean_rw_fix,nb_users_fix,clusteringCoefficient_networkit,PageRank_networkit,betweennessInComm_toScale,lengthMean_rw,nb_users,type
michto_original,0.0699475962633857,1.60684768533111e-07,0.3043478260869565,8.0857,1911.0,0.0698924731182795,1.9029600909227805e-07,0.5217391304347827,7.3725,8152.0,0.0699941280093951,2.229483051262101e-07,0.6376811594202898,6.2222,7474.0,,,,,,original
salauds_inProgress,0.127616518054765,2.548455847395303e-07,0.5909090909090909,10.6753,250.0,0.1230080616638005,3.07674313558122e-07,1.0454545454545454,11.3055,1752.0,0.1189100268111501,3.092133556381332e-07,0.9627799736495388,11.3214,1655.0,,,,,,inProgress
salauds_original,0.10298274814403845,1.5644739254090877e-07,0.3907741251325557,6.8906,1714.0,0.10436772313782736,1.9499932110762944e-07,0.6376811594202898,7.217700000000001,6458.0,0.1056412598444526,2.724126720365955e-07,0.9545454545454546,8.2821,4408.0,,,,,,original
explosé_inProgress,0.0867305061559507,1.5082523968641157e-07,0.4782608695652176,6.388,914.0,0.0770735524256651,2.295471894177959e-07,0.6341463414634145,5.7159,6052.0,0.07998546738466394,2.3030123151457125e-07,0.7014846235418876,5.30565,5843.0,,,,,,inProgress
explosé_original,0.09449492956218725,1.560473275358802e-07,0.463768115942029,6.47545,16112.0,0.0875548313383336,2.150393057716654e-07,0.7246376811594202,6.01765,22199.0,0.0833333333333333,2.751634544819128e-07,0.927536231884058,5.6982,19970.0,,,,,,original
zoulette_inProgress,0.0884805749542341,1.4786280654422318e-07,0.4057971014492754,6.8915,552.0,0.0764840182648401,2.0575778701372562e-07,0.5507246376811595,6.158,2864.0,0.06864962602667515,2.6322299310526624e-07,0.6820431247790739,5.8660499999999995,1174.0,,,,,,inProgress
zoulette_original,0.0853107344632768,1.478488208599784e-07,0.3478260869565218,7.3913,1080.0,0.07691469750293276,2.0338294847082473e-07,0.5925559947299078,6.45505,3533.0,0.0716922546144557,2.614946812199321e-07,0.6086956521739132,5.8469,1584.0,,,,,,original
mainstream_inProgress,0.1198113207547169,2.475807340931271e-07,0.6086956521739132,10.8934,534.0,0.1189267742495228,3.098235740034102e-07,0.9756097560975612,11.2139,2031.0,0.10759087828106104,2.5167296048805956e-07,1.022727272727273,10.873,224.0,,,,,,inProgress
mainstream_original,0.0981725110180394,2.437645129140378e-07,0.7804878048780489,6.3241499999999995,4592.0,0.0946040930400011,3.304287597795486e-07,1.090909090909091,6.540699999999999,6111.0,0.08253740782240471,4.856407218475842e-07,1.4090909090909094,7.0318000000000005,674.0,,,,,,original
épuisante_inProgress,0.0960916838084043,1.5252271499211578e-07,0.2608695652173913,7.6158,215.0,0.07769270396665015,1.8419042272286467e-07,0.5797101449275364,6.841900000000001,1088.0,0.07691922716409845,2.356365943617286e-07,0.7463768115942029,6.4559999999999995,1062.0,,,,,,inProgress
épuisante_original,0.0909548798202469,1.4784396793043014e-07,0.3478260869565218,7.10895,2259.0,0.0834367741899891,1.8132196850919455e-07,0.5217391304347827,6.9128,3923.0,0.0741440350549422,2.499819478673344e-07,0.7815482502651114,6.5864,2993.0,,,,,,original
flm_inProgress,0.07275187616345449,1.666490067112264e-07,0.3043478260869565,9.0667,162.0,0.06436678403155616,2.3266537530964336e-07,0.6376811594202898,7.70945,10489.0,0.06812048688642645,2.3206275829646844e-07,0.5599909104681109,6.5884,7452.0,,,,,,inProgress
flm_original,0.07699655016322525,1.711117133784663e-07,0.2463768115942029,8.64345,426.0,0.0679945302097952,2.0950833236485098e-07,0.5652173913043479,7.7001,12038.0,0.06642768583846105,2.382672105537532e-07,0.5797101449275364,6.99005,8578.0,,,,,,original
